====================================================================
gf180-rcosc post-layout PEX PVT run: extracted_ss_T+027C_V3p6_code0xA3
side        : extracted
run id      : 20260923T152954Z
process     : ss (fets=ss res=res_ss mimcap=mimcap_ss)
temperature : 27 C
supply      : 3.6 V
trim code   : 0xA3 (163)
transient   : tran 200p 1200n, f = 20 periods / (t[rise=25] - t[rise=5])
wall clock  : 9.9 s
exit status : 0
====================================================================

Note: No compatibility mode selected!


Circuit: ** sch_path: /home/ubuntu/github/gf180-rcosc/.loom/worktrees/issue-61/design/pvt_tb.sch

Doing analysis at TEMP = 27.000000 and TNOM = 27.000000

Using SPARSE 1.3 as Direct Linear Solver

Initial Transient Solution
--------------------------

Node                                   Voltage
----                                   -------
xxdut.\$37__t0                        0.821256
xxdut.\$37__t1                        0.821584
xxdut.vss__t0                      0.000424426
xxdut.vsubs                           0.526979
xxdut.\$9__t0                          2.27139
xxdut.\$8__t0                          1.19948
xxdut.vss__t2                       8.2742e-05
xxdut.\$10__t2                         3.37593
xxdut.t0__t0                               3.6
xxdut.\$11__t1                         3.37124
xxdut.\$13__t0                     7.58644e-07
xxdut.t0__t1                               3.6
xxdut.vss__t3                      3.45788e-08
xxdut.\$11__t3                         3.37124
xxdut.t1__t0                               3.6
xxdut.\$14__t1                         3.36494
xxdut.\$15__t2                     7.56664e-07
xxdut.t1__t2                               3.6
xxdut.vss__t13                      3.2599e-08
xxdut.\$14__t3                         3.36494
xxdut.t2__t0                                 0
xxdut.\$16__t1                         3.32363
xxdut.\$17__t2                             3.6
xxdut.t2__t2                                 0
xxdut.vss__t12                     1.52931e-08
xxdut.\$16__t3                         3.32363
xxdut.t3__t0                                 0
xxdut.\$18__t1                          3.2439
xxdut.\$19__t2                             3.6
xxdut.t3__t2                                 0
xxdut.vss__t11                     1.40328e-08
xxdut.\$18__t3                          3.2439
xxdut.t4__t0                                 0
xxdut.\$20__t1                         3.08732
xxdut.\$21__t2                             3.6
xxdut.t4__t2                                 0
xxdut.vss__t14                      1.2418e-08
xxdut.\$20__t3                         3.08732
xxdut.t5__t0                               3.6
xxdut.\$22__t1                         3.06318
xxdut.\$23__t2                      7.4416e-07
xxdut.t5__t2                               3.6
xxdut.vss__t15                     2.00943e-08
xxdut.\$22__t3                         3.06318
xxdut.t6__t0                                 0
xxdut.\$24__t1                         2.44541
xxdut.\$25__t2                             3.6
xxdut.t6__t2                                 0
xxdut.vss__t16                     6.35317e-09
xxdut.\$24__t3                          2.4453
xxdut.t7__t0                               3.6
xxdut.\$26__t1                         2.40741
xxdut.\$27__t2                     7.24519e-07
xxdut.t7__t2                               3.6
xxdut.vss__t17                     4.52826e-10
xxdut.\$30__t0                          1.4888
xxdut.\$26__t3                           2.407
xxdut.\$29__t0                         1.12098
xxdut.\$31__t0                         1.78339
xxdut.\$7__t1                          2.39973
xxdut.\$29__t1                         1.12103
xxdut.\$32__t2                         1.41331
xxdut.\$30__t2                         1.48985
xxdut.vss__t18                      0.00190304
xxdut.\$42__t0                        0.939636
xxdut.\$42__t1                        0.940151
xxdut.vss__t4                      0.000630241
xxdut.\$33__t1                     4.91103e-06
xxdut.\$42__t2                        0.940151
xxdut.vss__t10                     3.56229e-08
xxdut.\$34__t0                             3.6
xxdut.\$33__t0                      4.9113e-06
xxdut.vss__t5                      4.36728e-09
xxdut.\$35__t2                      7.4538e-07
xxdut.\$34__t3                             3.6
xxdut.vss__t19                     2.13143e-08
xxdut.\$26__t4                         2.40632
xxdut.clk__t0                         0.598087
xxdut.vss__t6                      0.000449503
xxdut.\$36__t3                         1.35219
xxdut.\$32__t3                         1.41886
xxdut.vss__t23                      0.00299674
xxdut.\$36__t2                         1.35709
xxdut.clk__t5                         0.598087
xxdut.vss__t20                     4.34981e-05
xxdut.clk__t3                         0.598087
xxdut.\$35__t3                     7.45577e-07
xxdut.vss__t21                     1.46018e-08
xxdut.clk__t4                          0.59756
xxdut.\$36__t4                         1.35714
xxdut.vss__t22                      0.00265661
xxdut.\$9__t12                          2.2714
xxdut.\$37__t3                        0.821584
